inventory,writer,count,source,destination,year,date,r_date,language,notes
DvdM_537-01,"Della Faille, Gillis",1,Haarlem,Leiden,1594,15940423,15940423,Dutch,
DvdM_558-073,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940423,15940425,Dutch,
DvdM_558-074,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940429,15940502,Dutch,
DvdM_558-075,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940507,15940511,Dutch,
DvdM_622-013,"Schot, Hans",1,Haarlem,Leiden,1594,15940511,15940511,Dutch,
DvdM_537-02,"Della Faille, Gillis",1,Haarlem,Leiden,1594,15940512,15940512,Dutch,
DvdM_558-076,"Janssen van der Meulen, Peeter",1,Middelburg,Leiden,1594,15940513,15940516,Dutch,
DvdM_270-07,"Della Faille, Gio",1,Antwerp,Leiden,1594,15940526,NA,Italian,
DvdM_558-079,"Janssen van der Meulen, Peeter",1,Amsterdam,Leiden,1594,15940530,15940531,Dutch,
DvdM_558-080,"Janssen van der Meulen, Peeter",1,Amsterdam,Leiden,1594,15940531,15940531,Dutch,
DvdM_558-082,"Janssen van der Meulen, Peeter",1,Amsterdam,Leiden,1594,15940603,15940603,Dutch,
DvdM_558-083,"Janssen van der Meulen, Peeter",1,Amsterdam,Dordrecht,1594,15940604,15940606,Dutch,
DvdM_274-45,"Della Faille, Marten",1,Antwerp,Leiden,1594,15940605,15940609,Dutch,
DvdM_558-085,"Janssen van der Meulen, Peeter",1,Amsterdam,Leiden,1594,15940608,15940611,Dutch,"Letter was probably not sent until June 11th, because that is date listed on back"
DvdM_270-08,"Della Faille de Oude, Jacques",1,Antwerp,Leiden,1594,15940609,NA,Dutch,Letter is small and signed by Jacques della Faille. It say ‘u oom’ so must be Jacques de Oude
DvdM_558-086,"Janssen van der Meulen, Peeter",1,Amsterdam,Leiden,1594,15940609,15940610,Dutch,Letter contains letters from both Peeter Janssen and Baptista Oyens
DvdM_558-086,"Oyens, Baptista",1,Amsterdam,Leiden,1594,15940609,15940610,Dutch,Letter contains letters from both Peeter Janssen and Baptista Oyens
DvdM_558-088,"Janssen van der Meulen, Peeter",1,Amsterdam,Leiden,1594,15940610,15940611,Dutch,
