"Inventory","name","count","source","destination","year","date","r_date"
"DvdM_538a-045/46","Della Faille, Jacques","1","Haarlem","Bremen","1586","1586-01-18","NA"
"DvdM_538a-047","Della Faille, Jacques","1","Haarlem","Bremen","1586","1586-02-13","NA"
"DvdM_593a-102","Meulen, Andries van der","1","Bremen","Brunswick, Germany","1586","1586-02-14","NA"
"DvdM_538a-049","Della Faille, Jacques","1","Haarlem","Bremen","1586","1586-04-16","NA"
"DvdM_593a-103","Meulen, Andries van der","1","Bremen","Haarlem","1586","1586-05-22","NA"
"DvdM_538a-050","Della Faille, Jacques","1","Haarlem","Middelburg","1586","1586-05-30","NA"
"DvdM_593a-104","Meulen, Andries van der","1","Bremen","Middelburg","1586","1586-05-31","NA"
"DvdM_538a-051","Della Faille, Jacques","1","The Hague","Delft","1586","1586-06-01","NA"
"DvdM_538a-052","Della Faille, Jacques","1","The Hague","Delft","1586","1586-06-01","NA"
"DvdM_538a-053","Della Faille, Jacques","1","Haarlem","Utrecht","1586","1586-06-01","NA"
"DvdM_593a-105","Meulen, Andries van der","1","Bremen","Middelburg","1586","1586-06-04","NA"
"DvdM_593a-107","Meulen, Andries van der","1","Bremen","London","1586","1586-06-12","NA"
"DvdM_593a-108","Meulen, Andries van der","1","Bremen","London","1586","1586-06-17","NA"
"DvdM_593a-109","Meulen, Andries van der","1","Bremen","London","1586","1586-06-25","NA"
"DvdM_593a-110","Meulen, Andries van der","1","Bremen","London","1586","1586-07-10","NA"
"DvdM_593a-111","Meulen, Andries van der","1","Bremen","London","1586","1586-07-19","1586-08-26"
"DvdM_593a-112","Meulen, Andries van der","1","Bremen","London","1586","1586-07-22","NA"
"DvdM_593a-113","Meulen, Andries van der","1","Bremen","London","1586","1586-07-25","NA"
"DvdM_593a-115/116","Meulen, Andries van der","1","Bremen","London","1586","1586-07-26","NA"
"DvdM_593a-114","Meulen, Andries van der","1","Bremen","London","1586","1586-07-29","NA"
"DvdM_274-14","Della Faille, Marten","1","Antwerp","London","1586","1586-08-21","1586-08-30"
"DvdM_593a-117","Meulen, Andries van der","1","Bremen","London","1586","1586-08-26","NA"
"DvdM_274-15","Della Faille, Marten","1","Antwerp","London","1586","1586-09-12","NA"
"DvdM_593a-118/119","Meulen, Andries van der","1","Bremen","London","1586","1586-09-15","NA"
"DvdM_274-16","Della Faille, Marten","1","Antwerp","London","1586","1586-09-28","NA"
"DvdM_593a-119a","Meulen, Andries van der","1","Bremen","NA","1586","1586-10-11","NA"
"DvdM_593a-119b","Meulen, Andries van der","1","Bremen","NA","1586","1586-10-31","NA"
"DvdM_593a-119c","Meulen, Andries van der","1","Bremen","NA","1586","1586-11-04","NA"
"DvdM_538a-054","Della Faille, Jacques","1","London","Bremen","1586","1586-11-06","NA"
"DvdM_538a-055/57","Della Faille, Jacques","1","London","Bremen","1586","1586-12-09","NA"
"DvdM_538a-058","Della Faille, Jacques","1","London","Bremen","1586","1586-12-17","NA"
"DvdM_538a-059","Hamels, Josina","1","Haarlem","Bremen","1587","1587-01-02","NA"
"DvdM_538a-060/61","Della Faille, Jacques","1","London","Bremen","1587","1587-01-28","NA"
"DvdM_538a-062","Hamels, Josina","1","Haarlem","Bremen","1587","1587-02-13","NA"
"DvdM_538a-063","Della Faille, Jacques","1","London","Bremen","1587","1587-03-06","NA"
"DvdM_60-12","Della Faille, Jacques","1","Haarlem","Bremen","1587","1587-04-12","NA"
"DvdM_270-01/02","Della Faille, Jan","1","Leiden","Bremen","1587","1587-05-03","NA"
"DvdM_606-01","Eeckeren, Hester van","1","Dordrecht","Bremen","1587","1587-06-17","NA"
"DvdM_262-01","Eeckeren, Robert van","1","Antwerp","Bremen","1587","1587-06-20","NA"
"DvdM_538a-064/68","Della Faille, Jacques","1","Haarlem","Bremen","1587","1587-07-09","1587-07-19"
"DvdM_274-18","Della Faille, Marten","1","Antwerp","Bremen","1587","1587-07-26","NA"
"DvdM_538a-069","Della Faille, Jacques","1","Haarlem","Bremen","1587","1587-09-01","1587-09-15"
"DvdM_536-01","Eeckeren, Robert van","1","Antwerp","Bremen","1587","1587-09-06","NA"
"DvdM_325-01","Borne, Jan","1","Antwerp","Bremen","1587","1587-10-03","1587-11-01"
"DvdM_538a-071/73","Della Faille, Jacques","1","Haarlem","Bremen","1587","1587-10-04","NA"
"DvdM_536-02","Eeckeren, Robert van","1","Antwerp","Bremen","1587","1587-11-30","1588-01-28"
"DvdM_538a-074/75","Della Faille, Jacques","1","Haarlem","Bremen","1587","1587-12-18","1588-01-13"
"DvdM_538a-077/83","Della Faille, Jacques","1","Haarlem","Bremen","1588","1588-02-08","1588-02-29"
"DvdM_262-02","Eeckeren, Robert van","1","Antwerp","Bremen","1588","1588-03-09","NA"
"DvdM_513","Achelen, Aelken van","1","Haarlem","Bremen","1588","1588-04-01","NA"
"DvdM_606-02","Eeckeren, Hester van","1","Dordrecht","Bremen","1588","1588-04-01","NA"
"DvdM_538a-087/88","Della Faille, Jacques","1","Haarlem","Bremen","1588","1588-04-06","NA"
"DvdM_607-001","Noirot, Melchior","1","Frankfurt","Bremen","1588","1588-04-09","NA"
"DvdM_538a-089","Della Faille, Jacques","1","Haarlem","Bremen","1588","1588-04-17","NA"
"DvdM_538a-095/96","Della Faille, Jacques","1","Haarlem","Bremen","1588","1588-06-11","NA"
"DvdM_536-03","Eeckeren, Robert van","1","Antwerp","Bremen","1588","1588-06-29","NA"
"DvdM_536-04","Eeckeren, Robert van","1","Antwerp","Bremen","1588","1588-07-01","NA"
"DvdM_538a-098/99","Della Faille, Jacques","1","Haarlem","Bremen","1588","1588-07-04","NA"
"DvdM_538a-100","Della Faille, Jacques","1","Haarlem","Bremen","1588","1588-07-09","NA"
"DvdM_538a-097","Della Faille, Jacques","1","Haarlem","Bremen","1588","1588-07-15","NA"
"DvdM_480-1","Sixtinus, R.","1","Marburg","Bremen","1588","1588-07-16","NA"
"DvdM_480-2","Sixtinus, R.","1","Marburg","Bremen","1588","1588-07-27","NA"
"DvdM_536-05","Eeckeren, Robert van","1","Antwerp","Bremen","1588","1588-07-27","NA"
"DvdM_274-19","Della Faille, Marten","1","Antwerp","Bremen","1588","1588-08-03","NA"
"DvdM_536-06","Eeckeren, Robert van","1","Antwerp","Bremen","1588","1588-08-03","NA"
"DvdM_274-20","Della Faille, Marten","1","Antwerp","Bremen","1588","1588-08-10","NA"
"DvdM_536-07","Eeckeren, Robert van","1","Antwerp","Bremen","1588","1588-08-24","NA"
"DvdM_274-21","Della Faille, Marten","1","Antwerp","Bremen","1588","1588-08-27","NA"
"DvdM_606-03","Eeckeren, Hester van","1","Dordrecht","Bremen","1588","1588-09-06","NA"
"DvdM_295-03","Meulen, Sara van der","1","Cologne","Bremen","1588","1588-09-15","NA"
"DvdM_553-02","Hoest, Mattheus de","1","Antwerp","Middelburg","1588","1588-11-02","NA"
"DvdM_538a-101/102","Della Faille, Jacques","1","Haarlem","Bremen","1588","1588-11-07","NA"
"DvdM_538a-090/91","Della Faille, Jacques","1","Haarlem","Bremen","1588","1588-05-08","NA"
"DvdM_621-10","Schot de Oude, Jacques","1","Delft","Bremen","1589","1589-02-12","NA"
"DvdM_536-08","Eeckeren, Robert van","1","Antwerp","Bremen","1589","1589-03-15","NA"
"DvdM_538a-103/104","Della Faille, Jacques","1","Haarlem","Bremen","1589","1589-04-14","NA"
"DvdM_658-01","Beke, Jan van der","1","Vlissingen","Bremen","1589","1589-04-16","NA"
"DvdM_660-001","Bongars, Jacques","1","Frankfurt","Bremen","1589","1589-04-17","NA"
"DvdM_589-01","Mandernach, Nicolas","1","Dordrecht","Bremen","1589","1589-04-26","1589-05-15"
"DvdM_358-01","Grabius, Joseph","1","NA","NA","1589","1589-04-28","NA"
"DvdM_325-02","Borne, Jan","1","Antwerp","Bremen","1589","1589-05-03","NA"
"DvdM_358-03","Grabius, Joseph","1","NA","NA","1589","1589-05-03","NA"
"DvdM_424-01","Maerschalck, Francois de","1","Delft","Bremen","1589","1589-05-11","NA"
"DvdM_660-002","Bongars, Jacques","1","Frankfurt","Bremen","1589","1589-05-14","NA"
"DvdM_660-003","Bongars, Jacques","1","Frankfurt","Bremen","1589","1589-05-14","NA"
"DvdM_325-03","Borne, Jan","1","Antwerp","Bremen","1589","1589-05-24","NA"
"DvdM_325-04","Borne, Jan","1","Antwerp","Bremen","1589","1589-06-07","NA"
"DvdM_274-22","Della Faille, Marten","1","Antwerp","Bremen","1589","1589-06-14","1589-06-21"
"DvdM_558-06","Janssen van der Meulen, Peeter","1","Stade","Bremen","1589","1589-06-18","1589-06-19"
"DvdM_657-02","Banos, Theophile de","1","Frankfurt","Bremen","1589","1589-06-19","1589-06-25"
"DvdM_432-01","Meganck, Louis","1","Delft","Bremen","1589","1589-06-28","NA"
"DvdM_558-07","Janssen van der Meulen, Peeter","1","Stade","Bremen","1589","1589-08-06","NA"
